Rk,Player,Pos,Age,Tm,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,,OWS,DWS,WS,WS/48,,OBPM,DBPM,BPM,VORP
23,Julius Randle,PF,29,NYK,19,664,16.3,0.506,0.336,0.367,6.4,26,15.9,25.2,1.1,0.4,13.5,28.4,,0.2,1.1,1.3,0.092,,0.5,0.5,1,0.5
24,Michael Porter Jr.,SF,25,DEN,21,661,16.8,0.591,0.541,0.105,5.9,22.5,14.2,7.8,0.8,2.2,7.5,21.8,,0.8,0.8,1.6,0.12,,1.9,-1.4,0.4,0.4
25,Kevin Durant,PF,35,PHO,18,659,25.1,0.636,0.218,0.415,0.9,18.4,10.1,29.1,1,2.8,12.7,33,,1.9,0.7,2.6,0.191,,6.4,-0.1,6.4,1.4
26,Franz Wagner,SF,22,ORL,20,657,17.6,0.564,0.308,0.271,4.2,16,10,17.1,1.5,1.1,8.7,25.7,,0.9,1,1.9,0.139,,1.3,0.2,1.5,0.6
27,Kawhi Leonard,SF,32,LAC,19,653,20,0.579,0.321,0.235,2.9,15.9,9.5,16.1,2.3,1.8,7.5,25.5,,1.1,1,2.1,0.156,,2.9,0.8,3.7,0.9
28,Giannis Antetokounmpo,PF,29,MIL,19,652,28.5,0.641,0.097,0.521,9.4,24.3,17.2,25.2,1.9,3.3,15.1,34.1,,1.8,0.9,2.7,0.197,,5,1.4,6.4,1.4
29,Jaylen Brown,SF,27,BOS,19,652,15.7,0.545,0.375,0.206,2.1,13.4,8,15.2,1.7,1.8,10.8,28.7,,0.1,1.1,1.1,0.082,,-0.8,0.6,-0.2,0.3
30,Brandon Ingram,SF,26,NOP,19,652,18.5,0.571,0.232,0.269,1.8,15.1,8.4,25.5,1.1,0.5,11,29,,0.8,0.6,1.3,0.098,,1.6,-1.1,0.5,0.4
31,Dejounte Murray,SG,27,ATL,19,649,17.2,0.561,0.351,0.185,2.1,11.3,6.6,21.8,2.5,0.7,11.5,24.4,,0.8,0.3,1.1,0.084,,1.3,-0.6,0.8,0.5
32,D'Angelo Russell,PG,27,LAL,21,649,18.2,0.598,0.415,0.199,1.4,10,5.9,32.8,1.3,1.6,11.2,22.8,,1.2,0.7,1.9,0.138,,2.8,-0.3,2.5,0.7
33,Trae Young,PG,25,ATL,18,648,22.1,0.569,0.437,0.454,2,6.9,4.4,43.2,2.1,0,13.7,31.1,,1.9,0.1,2,0.147,,5.8,-2,3.8,0.9
34,Desmond Bane,SG,25,MEM,19,646,18.9,0.573,0.464,0.202,2.9,11.8,7.2,27.7,1.9,2,11.7,29.4,,0.7,0.8,1.5,0.109,,3.3,0.1,3.4,0.9
35,Luka Dončić,PG,24,DAL,18,645,27.1,0.616,0.449,0.359,2,23.5,12.6,40.8,1.8,1.2,13.1,34.6,,1.9,0.7,2.6,0.194,,7.8,0.9,8.7,1.7
36,Karl-Anthony Towns,PF,28,MIN,19,636,19.1,0.618,0.32,0.258,4,24.2,14.9,15.3,1.4,1.9,14.1,27.2,,0.7,1.4,2.1,0.16,,1.5,1.8,3.2,0.9
37,Zach LaVine,SG,28,CHI,18,635,15.9,0.566,0.43,0.275,1,15.3,7.7,15.7,1.3,0.7,9.7,25.8,,0.5,0.4,0.9,0.07,,1,-1,0,0.3
38,Dennis Schröder,PG,30,TOR,20,632,15.8,0.55,0.392,0.246,1.6,8.9,5.1,32.2,1.4,0.3,10.8,21.6,,1,0.5,1.6,0.121,,0.7,-0.5,0.1,0.3
39,Damian Lillard,PG,33,MIL,18,630,22,0.609,0.494,0.506,2.4,11.4,7.1,28.4,1.4,0.3,11.7,28.8,,1.9,0.4,2.3,0.177,,4.4,-1.6,2.8,0.8
40,Isaiah Stewart,PF,22,DET,20,626,10.1,0.558,0.438,0.184,6.8,18.3,12.5,6.2,0.5,1.8,14.9,15.6,,0.1,0.3,0.4,0.031,,-2.2,-1.2,-3.5,-0.2
41,Jrue Holiday,PG,33,BOS,18,625,12.8,0.526,0.421,0.142,5.8,15.7,11,19.9,0.9,2.3,15.7,17.2,,0.4,1,1.3,0.103,,-0.2,1.3,1.1,0.5
